id,name,symbol,price,last_updated,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h
1,Bitcoin,BTC,74659.51885624565,2026-04-15T19:10:00.000Z,37170662311.43902,-39.4844,0.59690716,0.42366645
1027,Ethereum,ETH,2365.8224225514828,2026-04-15T19:09:00.000Z,15869706954.082592,-50.8959,0.63373523,1.87174061
825,Tether USDt,USDT,1.0000583819039985,2026-04-15T19:09:00.000Z,112897155216.78761,-23.2622,0.01363429,-0.0363093
52,XRP,XRP,1.3870754745639542,2026-04-15T19:09:00.000Z,2479480325.1010933,-22.2551,0.16117927,2.17641394
1839,BNB,BNB,623.0284014170292,2026-04-15T19:09:00.000Z,1599360943.7629051,-28.1076,0.11204897,1.33533822
3408,USDC,USDC,0.9996611051042686,2026-04-15T19:09:00.000Z,49187715107.51253,10.4317,-0.00058646,-0.01185416
5426,Solana,SOL,85.12176942012904,2026-04-15T19:09:00.000Z,4684357073.719977,-26.4866,0.24078535,0.94133618
1958,TRON,TRX,0.3284832096443606,2026-04-15T19:10:00.000Z,846408770.0607195,16.2469,0.22192428,1.56686942
74,Dogecoin,DOGE,0.0954305480108436,2026-04-15T19:09:00.000Z,1219608430.6272883,-54.8744,0.27863078,2.31706035
32196,Hyperliquid,HYPE,44.826404997809995,2026-04-15T19:09:00.000Z,307525301.7620922,-34.98,1.07361972,2.99873446
3957,UNUS SED LEO,LEO,10.148447203612236,2026-04-15T19:10:00.000Z,507835.71697827,-7.9569,0.0239983,0.18071119
2010,Cardano,ADA,0.24716928242576097,2026-04-15T19:10:00.000Z,424558102.30294544,-30.2854,0.35932213,2.51739714
1831,Bitcoin Cash,BCH,439.91948641539744,2026-04-15T19:09:00.000Z,237471799.03090113,-20.9687,0.18213383,0.90123046
1975,Chainlink,LINK,9.29556376800342,2026-04-15T19:10:00.000Z,532441075.6864527,-33.505,0.35348523,3.14568107
328,Monero,XMR,347.3368644884047,2026-04-15T19:09:00.000Z,119245379.39194478,7.6542,-0.05294011,-0.21583956
1437,Zcash,ZEC,356.22424493381897,2026-04-15T19:09:00.000Z,421202833.16159886,-39.6237,0.32075676,2.13186175
