id,name,symbol,price,event_ts,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,processing_time,event_id
1,Bitcoin,BTC,75707.4910736652,2026-04-21T04:43:00.000Z,3.816068361970805E10,15.5131,0.20339983,1.65264417,2026-04-21T04:45:00.083Z,bec80d35fac0b59189abd717cce6bca9962645c10d46d26377592fcd41890854
5426,Solana,SOL,85.19676359118876,2026-04-21T04:42:00.000Z,4.221741022065351E9,-6.8684,-0.03629322,0.88883148,2026-04-21T04:45:00.083Z,80fe1da2afd064f2005199873868e439faf7289f6038802fa43b23a2c4269bf3
1958,TRON,TRX,0.32865144390800427,2026-04-21T04:43:00.000Z,7.644976014085033E8,-29.4819,-0.0060381,-1.27517161,2026-04-21T04:45:00.083Z,ba878c6147674e8e05df55d0263339a032c1c5ae60e10dbc97570d3fd421b0b5
32196,Hyperliquid,HYPE,41.010698575263426,2026-04-21T04:42:00.000Z,3.3750297580706036E8,8.0541,0.10423827,-0.1926063,2026-04-21T04:45:00.083Z,cb954fcfde75e1fdb80d1c25eaa996ead24a4051738671e60ae856054c1dbd1b
2010,Cardano,ADA,0.2476792868226216,2026-04-21T04:43:00.000Z,4.826741504217925E8,-17.9336,0.15450579,0.74286187,2026-04-21T04:45:00.083Z,15bece08574c5ff91b5433ccf88d39a0af71f3edd1566a3e5f8ef1a3980cecb6
512,Stellar,XLM,0.17460226277631094,2026-04-21T04:42:00.000Z,1.248522554961795E8,18.0907,0.39332872,3.80779817,2026-04-21T04:45:00.083Z,a5577692aa1a651c84e34651ce19e03704b7675ded96c5596b6147df541b9da9
4642,Hedera,HBAR,0.0895086085527606,2026-04-21T04:43:00.000Z,1.2192832151186265E8,23.9622,0.2158163,1.04051398,2026-04-21T04:45:00.083Z,c11ad2d195863c7365a15e0b9a9f75e167f159536585f59ab9cf40caf372734f
20947,Sui,SUI,0.9440902329581801,2026-04-21T04:42:00.000Z,3.9801903385712904E8,-2.7321,0.34500884,0.66194563,2026-04-21T04:45:00.083Z,2d0aa6957e468028514b1d49c8ca5e02e249b19ee204a641ba386d6a5911255a
5176,Tether Gold,XAUt,4772.16679243622,2026-04-21T04:42:00.000Z,1.6815191071643594E8,3.3083,-0.12524045,0.03444903,2026-04-21T04:45:00.083Z,56b35ac066ef621e495211a14413f50a591c704ba486e57ecd66aa59e41e046c
33251,World Liberty Financial,WLFI,0.07892494473676447,2026-04-21T04:42:00.000Z,5.20793088954617E7,-1.4265,-0.16905783,1.74508926,2026-04-21T04:45:00.083Z,336511eaf5f7df678b323f050519898b1a52a3bbff3dcc63c6c7b4d9ad15ef38
7278,Aave,AAVE,92.45173016133496,2026-04-21T04:43:00.000Z,6.373092365188589E8,-15.3613,-0.61630206,-0.08518487,2026-04-21T04:45:00.083Z,77871637a87c6b0b14ce5bd0823c04f8495e2defc7414520eafcfc2427a69c66
7326,DeXe,DEXE,14.375394115695151,2026-04-21T04:42:00.000Z,3.354093583314952E7,-27.2188,1.04836018,0.10807208,2026-04-21T04:45:00.083Z,6f8d86c1f0ad9cef9005827ba8e4df098da0964760ce9aa3d72e23da0f8a8a98
39120,United Stables,U,0.9997543852529132,2026-04-21T04:42:00.000Z,3.3531738269706583E8,51.9026,0.00250163,0.00177033,2026-04-21T04:45:00.083Z,b70690ae8a841b802b04a8121c48bf32d6652c47d3e294411b7aee1a88a0d6a4
34104,Morpho,MORPHO,1.914603661082928,2026-04-21T04:42:00.000Z,1.418025456949829E7,-50.0646,0.75002025,-0.74841182,2026-04-21T04:45:00.083Z,165c4ff365843f406d133de8364e0c26253474d93d75c7ac4c3530bcc249e6c6
21794,Aptos,APT,0.930913048997267,2026-04-21T04:42:00.000Z,5.697824824048124E7,-17.8055,0.40720719,0.84953177,2026-04-21T04:45:00.083Z,b7296c1808bb505b451530d250a4524a92df7283ab6b2d878f0fbcedffbbb558
2563,TrueUSD,TUSD,0.9984755461093774,2026-04-21T04:42:00.000Z,1.464158111645363E7,43.7754,0.00149861,-0.06779776,2026-04-21T04:45:00.083Z,973297316a6fac37d03593d9e2d44fa4d7a2eaa86960057309f0b2cb0f474207
34466,Pudgy Penguins,PENGU,0.007575410309641563,2026-04-21T04:42:00.000Z,1.324812850501305E8,22.6101,0.92188798,6.43610887,2026-04-21T04:45:00.083Z,0ec80cda6bef9967cc80fd3f6bd7697be9cf91a52728b87e3987ebf621b7f11e
38590,币安人生,币安人生,0.4725754764143241,2026-04-21T04:43:00.000Z,1.027996951993508E8,-34.3484,1.80294477,17.1111704,2026-04-21T04:45:00.083Z,1b0f0634de9bf03eda456638d020dee648c7e5eab81b589bd97a526446b2efd4
4066,Chiliz,CHZ,0.045827664019859236,2026-04-21T04:43:00.000Z,1.8424471951310498E8,150.3523,-1.23982025,5.32387547,2026-04-21T04:45:00.083Z,12d429286ae7d08d8954af33d2b7578fc05517b96ef6a3ca59879c4f915f3e5f
2011,Tezos,XTZ,0.36461635728071284,2026-04-21T04:43:00.000Z,1.479868731058277E7,13.0615,0.31975142,0.97116466,2026-04-21T04:45:00.083Z,33a237f3b120530342387b4e176982bf609d10b62dcdcb0901069dcee85f1d0b
29270,Aerodrome Finance,AERO,0.3839759263786807,2026-04-21T04:42:00.000Z,1.982992571085351E7,0.8358,0.37756872,1.89489837,2026-04-21T04:45:00.083Z,e539b72d4591fd5d1b31287cfc266959be2b401ec2afead249a0a85d7f739cf8
3408,USDC,USDC,0.999721614195902,2026-04-21T04:42:00.000Z,5.768440132870749E10,17.4337,0.00164956,-0.00566407,2026-04-21T04:45:00.083Z,908e0163978b3c5c8f7d4ec6eb053f89ff1509eeaa4c28231cd5056efdbaa126
74,Dogecoin,DOGE,0.09519314308527078,2026-04-21T04:42:00.000Z,1.3825927458380206E9,-26.213,0.4282689,0.95107262,2026-04-21T04:45:00.083Z,5956b8c916baf54956c46671eca647abab32387e5b72cfdacdb056d36f16e582
328,Monero,XMR,353.23472405263885,2026-04-21T04:43:00.000Z,1.1618641665870641E8,16.3019,-0.11880558,0.68957598,2026-04-21T04:45:00.083Z,25fc2d7b942589c4e513b6ca3814198d312fb7ce306d5b420b4bc9cdbb2113f2
4943,Dai,DAI,0.9998115308776904,2026-04-21T04:42:00.000Z,8.735386282630312E7,-14.1943,0.00807501,0.00671727,2026-04-21T04:45:00.083Z,e28e0c902029b115b19635f83e0d8156c5b0570734edd8aac4dabffd761f7f72
1437,Zcash,ZEC,315.153953758554,2026-04-21T04:42:00.000Z,3.991344238835286E8,-41.6407,-0.49486616,1.86763651,2026-04-21T04:45:00.083Z,600967dfad2b876b64b3504557035d5cea5386b81ef75d996cfbe1c22a96963a
2,Litecoin,LTC,54.93104500316,2026-04-21T04:43:00.000Z,2.3552364647226045E8,-3.8872,0.31647236,0.2743947,2026-04-21T04:45:00.083Z,5a06c9edb6a1b1db33d21331bc23eff97c958612254b277910d8bd6744dbceec
36148,World Liberty Financial USD,USD1,0.999875308722685,2026-04-21T04:42:00.000Z,1.0269021604678823E9,2.2341,0.00884522,-0.01966781,2026-04-21T04:45:00.083Z,7bfb83e8a42267a1cf939e26a67ae2f0a500625810bf878fd6136fd6a6bf5e51
3635,Cronos,CRO,0.07030099405324139,2026-04-21T04:42:00.000Z,7134433.41966212,-10.7958,-0.11869972,1.58482675,2026-04-21T04:45:00.083Z,4d8a1d5c44592c1de3b9588203b38eea213d56c9f0a1bd052771ffe1fbb78a58
7083,Uniswap,UNI,3.240419277785324,2026-04-21T04:43:00.000Z,2.2352376537278363E8,7.8094,0.34687609,-0.88041873,2026-04-21T04:45:00.083Z,4b10c721486e737009d1d9d69f21e9abed24dfe30d1bbb0f4a7a1b25e86bfda8
24478,Pepe,PEPE,3.7482366188126845E-6,2026-04-21T04:43:00.000Z,4.132353056500339E8,-7.5995,0.2854433,0.78950684,2026-04-21T04:45:00.083Z,810830e521c187e51af44a384127e7f1d3a6136744cca10e810cf70bbad6d60c
11092,Bitget Token,BGB,1.8927923029631908,2026-04-21T04:42:00.000Z,2.0791757343543908E8,229.1939,-0.11264739,0.63438425,2026-04-21T04:45:00.083Z,6af8bdb3805ed0ced36dabae82142adc0be56aa1ae6303a5d01b628b87391e76
30171,Ethena,ENA,0.11098433393609185,2026-04-21T04:42:00.000Z,1.0468311696999776E8,-21.7608,0.01078599,-4.11849531,2026-04-21T04:45:00.083Z,5c8f206f6bc97870783683efd505cc6e50b2d21c03eabc6a5e6882cdeefbd8dc
4269,GateToken,GT,7.270451464076199,2026-04-21T04:42:00.000Z,2948156.40093265,9.3373,0.03170297,1.48797922,2026-04-21T04:45:00.083Z,bc3eb2bd0b8a95cdf9badedd0b1a53a59926111bc702c5ed21c0ec8563064787
35336,OFFICIAL TRUMP,TRUMP,2.8514187310787795,2026-04-21T04:42:00.000Z,2.095299818733897E8,6.4735,0.11132252,0.28745994,2026-04-21T04:45:00.083Z,e432cdd04acf7f5d2b9af3478912220927eff3dbefbc18894585573661713a1f
5488,JUST,JST,0.07521929183756101,2026-04-21T04:42:00.000Z,2.826121914145032E7,-22.5142,0.17152346,2.13889177,2026-04-21T04:45:00.083Z,34977f8009c47f8bb134827ff78fde4a9361c9a13271e0c9ac7e1f57e76a3726
