id,name,symbol,price,event_ts,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,processing_time,event_id
1,Bitcoin,BTC,75823.87004637689,2026-04-21T05:03:00.000Z,3.803275626613735E10,15.3335,0.1278067,1.74607381,2026-04-21T05:05:00.083Z,5b8e70604ebfc7758ed59b1124f46dafbaebf671b20433203452b8792aa44f88
5426,Solana,SOL,85.44449441020384,2026-04-21T05:03:00.000Z,4.233569605004192E9,-6.3981,0.27012799,1.01253809,2026-04-21T05:05:00.083Z,68f35e402ba02ec0e3aafb502e32f7e9b1e37018935803a78a06d9e469a1c8ec
1958,TRON,TRX,0.32862190971971794,2026-04-21T05:03:00.000Z,7.63509640110602E8,-29.5205,-0.0419659,-1.15257738,2026-04-21T05:05:00.083Z,0eaccfe927e00d9b4f4a99a8f29d02e86bf2ffb1228d4ada78a0401526ecde47
32196,Hyperliquid,HYPE,41.151140367193236,2026-04-21T05:03:00.000Z,3.353124121662333E8,6.8903,-0.35161035,0.36045595,2026-04-21T05:05:00.083Z,3bed22423673a12c035414a8c0fbb8d2b261a0d9fa56fa9502e4d546cfa2cba4
2010,Cardano,ADA,0.24851166237015038,2026-04-21T05:03:00.000Z,4.8142963670501167E8,-18.1401,0.48525377,1.0562992,2026-04-21T05:05:00.083Z,cbba1660c87fbc754b5b581363eaa9651a21dc0fb75368a1e52a50a1b74ee6ea
512,Stellar,XLM,0.17575572848030424,2026-04-21T05:02:00.000Z,1.2575854895344079E8,19.1506,0.93291171,4.18163258,2026-04-21T05:05:00.083Z,da90ed6c6ad2020155a36adfb70d4fdffa763199af5cdb774fdbc911b84f5fdc
4642,Hedera,HBAR,0.08973706764969971,2026-04-21T05:03:00.000Z,1.2167869316520949E8,23.6918,0.420227,0.96280855,2026-04-21T05:05:00.083Z,aee6894b8a06f184850ba892dd3fe2f8feaf14651908b272e1fa2ff62df90820
20947,Sui,SUI,0.9461542013264047,2026-04-21T05:02:00.000Z,3.977016708769565E8,-2.4492,0.38267375,0.76847044,2026-04-21T05:05:00.083Z,f079992c108ab71ecdf136855821850199f50cdd1f0d1b4fce0b0e61f15ae008
5176,Tether Gold,XAUt,4770.491755310169,2026-04-21T05:02:00.000Z,1.6855234032812977E8,3.6043,-0.12234324,-0.00205092,2026-04-21T05:05:00.083Z,cfe6c8641ed14105b3ef3891b908544ac9549ff9c6d8f916b7cd8c6e92802aaa
33251,World Liberty Financial,WLFI,0.07871286851641565,2026-04-21T05:03:00.000Z,5.202535810621436E7,-1.0336,-0.66860393,1.34460799,2026-04-21T05:05:00.083Z,6fcaada636bc7c84f1e39121ce65b5b6cf2635038eea28dd1132d20f1008cf57
7278,Aave,AAVE,92.91572739679171,2026-04-21T05:03:00.000Z,6.37364913252691E8,-14.0679,-1.15654255,0.88496451,2026-04-21T05:05:00.083Z,019d58603ed613f97feb2389d85e19e3e33bfba9e9a45d2c42ab44bc2173c75e
7326,DeXe,DEXE,14.3756788148964,2026-04-21T05:03:00.000Z,3.326192075931951E7,-27.6127,0.41543129,-0.08781298,2026-04-21T05:05:00.083Z,186a74486c85c6124417a6131eaac38655cb42b2b23024c77bc81001f8546678
39120,United Stables,U,0.9998686945840489,2026-04-21T05:02:00.000Z,3.357456774114511E8,54.5555,0.00380179,0.02235559,2026-04-21T05:05:00.083Z,ba35e5a1e7078e31396b54d965f9123a23a6d5a2c1053c71f34d6dddcf89a6f5
34104,Morpho,MORPHO,1.9302995110067953,2026-04-21T05:03:00.000Z,1.428804673543536E7,-49.4,1.33464505,-0.13674422,2026-04-21T05:05:00.083Z,0a3429f16506617cd497d42e2f7a86ecb04363e58ab86fb28b1da683563c0cf5
21794,Aptos,APT,0.932694682216371,2026-04-21T05:03:00.000Z,5.669684480575118E7,-18.0555,0.45975382,0.87708671,2026-04-21T05:05:00.083Z,e33cc979dce8c5b251e4a0bfa9196ae035b92543a0c93c346259a8ec61ceba8b
2563,TrueUSD,TUSD,0.9984417231718307,2026-04-21T05:02:00.000Z,1.468203945431072E7,44.4472,-0.00592779,-0.07003487,2026-04-21T05:05:00.083Z,a08f86b40ca6968ca7e4d5d5667ee5e2c09adfe1eb7a4a17c8a763ab4f719c87
34466,Pudgy Penguins,PENGU,0.007622702967624357,2026-04-21T05:03:00.000Z,1.328789960062708E8,23.4296,1.01174056,6.79359376,2026-04-21T05:05:00.083Z,510fdf9a2c7f4f5241ab088e7bfcde74d7a63f0db881a39c663b362923e59a54
4066,Chiliz,CHZ,0.046215177710676424,2026-04-21T05:03:00.000Z,1.828700770017783E8,139.8521,0.00831069,4.92308514,2026-04-21T05:05:00.083Z,0523c41a3c3d8661684cf4ff8086e4e76cc8e16ca3c368a8d19f11fa866e9105
