id,name,symbol,price,event_ts,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,processing_time,event_id
1,Bitcoin,BTC,75876.57530745967,2026-04-21T05:08:00.000Z,3.786101678493918E10,14.9324,0.25437964,2.05766695,2026-04-21T05:10:00.079Z,8d8fe45e44bd227165fab00783f7ab2a37758ffc826038f95f810c47c2d12a5e
5426,Solana,SOL,85.56202446879485,2026-04-21T05:08:00.000Z,4.2332026894984164E9,-6.3564,0.37421197,1.29891807,2026-04-21T05:10:00.079Z,a18b09002da91de914ab0c7f6b053da026fc86cb6c1c4b0afbeb5d494fd2d6a4
1958,TRON,TRX,0.3287752976325573,2026-04-21T05:08:00.000Z,7.614260273709533E8,-29.8182,0.01165126,-1.05532859,2026-04-21T05:10:00.079Z,a8e5a9ed5a723479cad344b28dc5f3453315bc61a747c9960089443dbb1e3660
32196,Hyperliquid,HYPE,41.241390293530195,2026-04-21T05:08:00.000Z,3.353313741671816E8,6.8094,-0.14650468,0.99980855,2026-04-21T05:10:00.079Z,d6a4a5457445ffbc1abf5ba2878c900bafdd68fb6cc45fa044a95b74a2433a11
2010,Cardano,ADA,0.24894077170547974,2026-04-21T05:08:00.000Z,4.7978271600301445E8,-18.3834,0.62178647,1.39031657,2026-04-21T05:10:00.079Z,51f18b419ec2d68f2fc4b193b65da289f50f2717bdf576edb85406e558bdfd9f
512,Stellar,XLM,0.17585960481516424,2026-04-21T05:07:00.000Z,1.2568413185634252E8,19.1497,0.94739434,4.39370772,2026-04-21T05:10:00.079Z,d34a26600e460ec508d874037264880fa196f9c8a4afecc94de31d62dcc0fef1
4642,Hedera,HBAR,0.08981638585192261,2026-04-21T05:08:00.000Z,1.2170087604437546E8,23.8145,0.45771966,1.24476938,2026-04-21T05:10:00.079Z,25f71074b94494aa3cc211d717a2c4dd33f5ac0472779ff49e4e586c770061ed
20947,Sui,SUI,0.9480373999844042,2026-04-21T05:08:00.000Z,3.97679179665653E8,-2.4138,0.61139995,1.16269891,2026-04-21T05:10:00.079Z,f1d43f07f7dccb8f32a82392280d54b98d17b5135f64b2e8b1db2848c66dee3e
5176,Tether Gold,XAUt,4771.989243382277,2026-04-21T05:07:00.000Z,1.6868454434504217E8,3.7989,-0.09478333,0.03543483,2026-04-21T05:10:00.079Z,b39c1a5a9910d03ea8cab672714122df7ee3c927714d23fbefe5041982b12d69
33251,World Liberty Financial,WLFI,0.07879332456441851,2026-04-21T05:08:00.000Z,5.197139153705642E7,-1.0707,-0.28923282,1.57132878,2026-04-21T05:10:00.079Z,76f72de657736fd6a2efde8ec56c8b741e06264da27738833bf0d5ab7ab545a4
7278,Aave,AAVE,93.3654037079048,2026-04-21T05:08:00.000Z,6.380475285280632E8,-13.674,-0.60284945,1.65607443,2026-04-21T05:10:00.079Z,43da2a905844fb00cae1e5d4df68b4a5501a12f5acfb3674112b80f635428376
7326,DeXe,DEXE,14.407585495430984,2026-04-21T05:08:00.000Z,3.320079976714481E7,-27.692,0.71550018,0.24120584,2026-04-21T05:10:00.079Z,88d71df83748f9d8aa952c4cf4222561b765461d00843b25794f6be7bb5caa8a
39120,United Stables,U,0.9998710023752907,2026-04-21T05:07:00.000Z,3.3560021992480534E8,54.5199,0.00786626,0.03645153,2026-04-21T05:10:00.079Z,cb2412bea1dabde6bbd863e1b56dc3ac679fc9ee5c12fb555dc7e22ed7d5f2b9
34104,Morpho,MORPHO,1.9429957149087749,2026-04-21T05:08:00.000Z,1.438702411784473E7,-48.9592,1.94933929,0.57650536,2026-04-21T05:10:00.079Z,087219bb3756ae071607b0a20afe68782ed65bfb0ce657d2f28e1525fcf8d291
21794,Aptos,APT,0.933681807177907,2026-04-21T05:07:00.000Z,5.652741412169006E7,-18.2285,0.51888809,1.22074229,2026-04-21T05:10:00.079Z,cc3ca63bf0a1ed46b80ac475bae23812f8df6f3424061555b7d77ecfeac17083
2563,TrueUSD,TUSD,0.9984699974202697,2026-04-21T05:07:00.000Z,1.469392517737555E7,44.3296,0.00390396,-0.0638592,2026-04-21T05:10:00.079Z,ff7c4b4d2a94bcb0675b46fcfd2f2d6e47d4f3bb1fd32b1f79515bbd78963c95
