id,name,symbol,price,event_ts,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,processing_time,event_id
1,Bitcoin,BTC,75923.57336357531,2026-04-21T05:13:00.000Z,3.7994784364829094E10,15.4103,0.33354796,2.17204878,2026-04-21T05:15:00.075Z,85604a70e9bd757a89596e138712d10e82fbc4f8f7aba4dc39ce96d595d454ba
5426,Solana,SOL,85.77044057979695,2026-04-21T05:12:00.000Z,4.240329096759756E9,-6.2261,0.63310345,1.73830589,2026-04-21T05:15:00.075Z,296b17d122edd58ed51bb272ba846c907308d95b076069ef51c85783cf3302c1
1958,TRON,TRX,0.32877221565545084,2026-04-21T05:13:00.000Z,7.599279509122952E8,-30.0365,0.01991018,-1.03051515,2026-04-21T05:15:00.075Z,e784e54b37fd19e524c529f3bfd7a975c7797d1c182fb7300b66a378759ded0b
32196,Hyperliquid,HYPE,41.22708008652539,2026-04-21T05:13:00.000Z,3.3570622141929895E8,6.817,-0.18994547,1.01634312,2026-04-21T05:15:00.075Z,542339eb6b7804328ae2f222afb4b0a63022ed5106aaff0dd12a9b19ea2ab5c9
2010,Cardano,ADA,0.24952922388012613,2026-04-21T05:13:00.000Z,4.807300793747156E8,-18.2132,0.91172818,2.08543983,2026-04-21T05:15:00.075Z,95e9b3f6d6ba2c83f72cf43f1aaf88fa9abd94f0df18eee6e6d40f4c4dd4835d
512,Stellar,XLM,0.17595284254714652,2026-04-21T05:12:00.000Z,1.261021718607088E8,19.4964,0.99705231,4.8125403,2026-04-21T05:15:00.075Z,26542571a2f1361ef0740e69f4e50ec346eab28cad128cf0fa0cfdaa0ed0f504
4642,Hedera,HBAR,0.0899157527694663,2026-04-21T05:12:00.000Z,1.2179422509700465E8,24.0911,0.60042794,1.65114015,2026-04-21T05:15:00.075Z,81d66871a9fb283ea2d0068c773cb274189be870b49c05444056e93999dadb09
20947,Sui,SUI,0.9497720427838138,2026-04-21T05:13:00.000Z,3.979859777883835E8,-2.3792,0.84385076,1.75583855,2026-04-21T05:15:00.075Z,406f7356ed3b0f7db4b71454440719c7716f8a3294398033fa3eb9f8373ae527
5176,Tether Gold,XAUt,4771.715654452799,2026-04-21T05:12:00.000Z,1.686781553879032E8,3.7261,-0.07251087,0.05048738,2026-04-21T05:15:00.075Z,5aad88d014beca81509df7db3308b3cd22d2f1c6904166fe2d58c14b646232d7
33251,World Liberty Financial,WLFI,0.07886871445109409,2026-04-21T05:12:00.000Z,5.192532582498445E7,-1.4047,-0.11253767,1.84842419,2026-04-21T05:15:00.075Z,863047fafe3f336d9c505d8a33f5f822577c5ff6c6f1e1d39680a3fd58213dc3
7278,Aave,AAVE,93.5589562621151,2026-04-21T05:13:00.000Z,6.363558352749557E8,-13.8072,-0.00675053,2.53258548,2026-04-21T05:15:00.075Z,302ff82375c50941abff4840c14fccdf9bcd38a96c6e66690b96bb75c21de7b4
7326,DeXe,DEXE,14.474278767050714,2026-04-21T05:13:00.000Z,3.311305399186379E7,-28.0596,1.33908084,0.04674532,2026-04-21T05:15:00.075Z,6bd146056e955adcb77c0daeedefd66dabb302842cb8242665e471eb9820f5ba
39120,United Stables,U,0.9998661287545926,2026-04-21T05:12:00.000Z,3.355441881477077E8,53.781,0.00921733,0.02771257,2026-04-21T05:15:00.075Z,60577b664384d9d95ebfe39b694417b4d7c1a8585bc28626841652a0e14ab4a9
34104,Morpho,MORPHO,1.9416571884971423,2026-04-21T05:12:00.000Z,1.440152979366423E7,-48.7689,1.95931178,0.8031449,2026-04-21T05:15:00.075Z,0fa12b099c1ba9c90c9c3c4f55deebe24e42e585f9610df0959f4aa2ab27628a
21794,Aptos,APT,0.9372806054484615,2026-04-21T05:12:00.000Z,5.652832446477631E7,-18.2314,0.89927392,1.92551787,2026-04-21T05:15:00.075Z,1222c215ae0af3592a228f459350f5667845a1e97476fc016ef1c06d0054da9b
2563,TrueUSD,TUSD,0.9984904362960548,2026-04-21T05:12:00.000Z,1.469811304093428E7,44.4351,0.00958418,-0.06757822,2026-04-21T05:15:00.075Z,bad0c37c73126726e05ec7d7309037974d696d257ed73baaf45cf08bb281bdd0
34466,Pudgy Penguins,PENGU,0.007711579855012958,2026-04-21T05:12:00.000Z,1.3377043920337974E8,24.4471,2.00662197,8.81579904,2026-04-21T05:15:00.075Z,8ddd6056b8b6b9eea3419733f255ed307a71d951cba1c57e8d8b4227ae9e9ea5
4066,Chiliz,CHZ,0.04633971411116157,2026-04-21T05:13:00.000Z,1.8206298886635605E8,135.3772,0.55304259,6.47225738,2026-04-21T05:15:00.075Z,0406e452b0b5be8408c1321e447a6caa109d691f2162ad75adb596f2327ae112
38590,币安人生,币安人生,0.4710838970143791,2026-04-21T05:13:00.000Z,1.019451332068716E8,-34.4835,-0.98444504,16.11754306,2026-04-21T05:15:00.075Z,2b18edd08e87cfe343c4e183839cd3c72028edc5fb143eb1978417bd47b9d8b7
2011,Tezos,XTZ,0.36694287710821366,2026-04-21T05:13:00.000Z,1.471800327770698E7,11.5258,0.82880427,1.52239455,2026-04-21T05:15:00.075Z,379758bc4a0508a86a74e0f590f419a75558fca32fb6204abe61d3d8b343bfdc
