id,event_id,event_ts,curr_price,past_prices,past_timestamps,mean,std,z_score,alert_id
3794,de6496b24cf5c80e3d3df5e2ed7ee4f978bf0949b90bd06e16d095b382226109,2026-04-24T21:59:00.000Z,-0.63450469,"[0.43702765, 0.0835068, 0.04583336, 0.15287926, -0.35570031, -0.10073303, 0.01138196, -0.09093442, -0.3241282, -0.35389638, -0.38954864, -0.42671501]","[2026-04-24 20:59:00, 2026-04-24 21:04:00, 2026-04-24 21:09:00, 2026-04-24 21:14:00, 2026-04-24 21:20:00, 2026-04-24 21:25:00, 2026-04-24 21:30:00, 2026-04-24 21:34:00, 2026-04-24 21:39:00, 2026-04-24 21:44:00, 2026-04-24 21:49:00, 2026-04-24 21:54:00]",-0.10925224666666666,0.2564843609325883,2.047892672377733,de6496b24cf5c80e3d3df5e2ed7ee4f978bf0949b90bd06e16d095b382226109
29814,3233aca66ac2507c50457c73f3dec054ec3bcd7f1d68fe18d44b1c4095d2fcb7,2026-04-24T21:49:00.000Z,-0.6170469,"[0.31121132, 0.10300129, 0.15490223, 0.2663724, 0.34050767, 0.05513633, 0.18250877, 0.34406899, 0.12380783, -0.20148359, -0.68235195]","[2026-04-24 20:54:00, 2026-04-24 20:59:00, 2026-04-24 21:04:00, 2026-04-24 21:09:00, 2026-04-24 21:14:00, 2026-04-24 21:19:00, 2026-04-24 21:24:00, 2026-04-24 21:29:00, 2026-04-24 21:34:00, 2026-04-24 21:39:00, 2026-04-24 21:44:00]",0.09069829909090908,0.2866942179141307,2.4686413428222314,3233aca66ac2507c50457c73f3dec054ec3bcd7f1d68fe18d44b1c4095d2fcb7
2563,eaf00f0f0ab7cfee450b029947b0ca3886650e4dc3590de4d10935ea05c71f61,2026-04-24T21:54:00.000Z,0.01975134,"[0.00313657, 0.00422007, -0.00158124, 0.00675726, 0.00771033, -0.00845616, -0.0069103, -0.00505111, -5.4681E-4, 0.0028973, 0.00848617, 2.4288E-4]","[2026-04-24 20:54:00, 2026-04-24 20:59:00, 2026-04-24 21:04:00, 2026-04-24 21:09:00, 2026-04-24 21:15:00, 2026-04-24 21:19:00, 2026-04-24 21:24:00, 2026-04-24 21:29:00, 2026-04-24 21:34:00, 2026-04-24 21:39:00, 2026-04-24 21:44:00, 2026-04-24 21:49:00]",9.087466666666665E-4,0.005407458646558371,3.4845561593570173,eaf00f0f0ab7cfee450b029947b0ca3886650e4dc3590de4d10935ea05c71f61
1975,b520dee80dd906b36220e6c256a329652b48374a67ae4f5e3a8783ab100db54c,2026-04-24T21:50:00.000Z,-0.26229004,"[0.24520681, 0.28211851, 0.27536712, 0.378201, 0.30219544, 0.05164784, 0.10797365, 0.18785826, 0.07071294, -0.21308561, -0.21945083]","[2026-04-24 20:55:00, 2026-04-24 21:00:00, 2026-04-24 21:05:00, 2026-04-24 21:10:00, 2026-04-24 21:15:00, 2026-04-24 21:20:00, 2026-04-24 21:25:00, 2026-04-24 21:31:00, 2026-04-24 21:35:00, 2026-04-24 21:40:00, 2026-04-24 21:45:00]",0.13352228454545456,0.19116227221411417,2.0705567053634883,b520dee80dd906b36220e6c256a329652b48374a67ae4f5e3a8783ab100db54c
36507,32a422dde1e31040e6a834b257935c05ca4626720f4fc541cc0eed647345fdd9,2026-04-24T21:49:00.000Z,-0.78257314,"[0.56660203, 0.56637149, 0.50823122, 0.45062384, 0.48890019, 0.20305803, 0.28313906, 0.18620498, -0.17100521, -0.36176797, -0.74765307]","[2026-04-24 20:54:00, 2026-04-24 20:59:00, 2026-04-24 21:04:00, 2026-04-24 21:09:00, 2026-04-24 21:14:00, 2026-04-24 21:20:00, 2026-04-24 21:24:00, 2026-04-24 21:30:00, 2026-04-24 21:34:00, 2026-04-24 21:39:00, 2026-04-24 21:44:00]",0.17933678090909091,0.41160404546097873,2.336978782197812,32a422dde1e31040e6a834b257935c05ca4626720f4fc541cc0eed647345fdd9
11841,8ae8211ff8eeeed076819dd8f6046936396ae93c5a73f5ade99e85d0077b9907,2026-04-24T22:09:00.000Z,-0.5535028,"[0.21601374, 0.44924313, 0.14337566, 0.36447612, 0.72738818, 0.63395512, 0.13546467, 0.09803352, 0.06481083, -0.02711238, -0.12813837, -0.12801098]","[2026-04-24 21:09:00, 2026-04-24 21:14:00, 2026-04-24 21:19:00, 2026-04-24 21:24:00, 2026-04-24 21:29:00, 2026-04-24 21:34:00, 2026-04-24 21:40:00, 2026-04-24 21:44:00, 2026-04-24 21:49:00, 2026-04-24 21:54:00, 2026-04-24 21:59:00, 2026-04-24 22:04:00]",0.21245826999999998,0.26722559662453377,2.8663461871738884,8ae8211ff8eeeed076819dd8f6046936396ae93c5a73f5ade99e85d0077b9907
34466,be6ca107b5c989395193f72256ff26dca89e0409f8a234f936758aa8d2bc8396,2026-04-24T21:49:00.000Z,-0.92577543,"[0.29280242, 0.3059448, 0.4298642, 0.66277269, 0.69688535, 0.4295826, 0.64110062, 0.65646569, 0.54389713, -0.04473047, -0.64096631]","[2026-04-24 20:54:00, 2026-04-24 20:59:00, 2026-04-24 21:04:00, 2026-04-24 21:09:00, 2026-04-24 21:14:00, 2026-04-24 21:19:00, 2026-04-24 21:24:00, 2026-04-24 21:29:00, 2026-04-24 21:34:00, 2026-04-24 21:39:00, 2026-04-24 21:44:00]",0.36123806545454545,0.3800447736173179,3.3864786067298747,be6ca107b5c989395193f72256ff26dca89e0409f8a234f936758aa8d2bc8396
34466,7834ddb99b2a0d5069033e77d0c06c7d05c067ad047706f374bd7856c1290027,2026-04-24T21:54:00.000Z,-0.96077125,"[0.29280242, 0.3059448, 0.4298642, 0.66277269, 0.69688535, 0.4295826, 0.64110062, 0.65646569, 0.54389713, -0.04473047, -0.64096631, -0.92577543]","[2026-04-24 20:54:00, 2026-04-24 20:59:00, 2026-04-24 21:04:00, 2026-04-24 21:09:00, 2026-04-24 21:14:00, 2026-04-24 21:19:00, 2026-04-24 21:24:00, 2026-04-24 21:29:00, 2026-04-24 21:34:00, 2026-04-24 21:39:00, 2026-04-24 21:44:00, 2026-04-24 21:49:00]",0.25398694083333334,0.508850372750852,2.387260098221672,7834ddb99b2a0d5069033e77d0c06c7d05c067ad047706f374bd7856c1290027
34466,dfc24a281a4541bb7aad5711b7d9f447e004199cdfb8728b10789f034b2fd279,2026-04-24T21:59:00.000Z,-1.2196513,"[0.3059448, 0.4298642, 0.66277269, 0.69688535, 0.4295826, 0.64110062, 0.65646569, 0.54389713, -0.04473047, -0.64096631, -0.92577543, -0.96077125]","[2026-04-24 20:59:00, 2026-04-24 21:04:00, 2026-04-24 21:09:00, 2026-04-24 21:14:00, 2026-04-24 21:19:00, 2026-04-24 21:24:00, 2026-04-24 21:29:00, 2026-04-24 21:34:00, 2026-04-24 21:39:00, 2026-04-24 21:44:00, 2026-04-24 21:49:00, 2026-04-24 21:54:00]",0.14952246833333332,0.608982849428829,2.248296104919038,dfc24a281a4541bb7aad5711b7d9f447e004199cdfb8728b10789f034b2fd279
34466,70324dcb1ed0412e367ac748a7a8224140eecfd7c40fb6de580e0e43e22f4d25,2026-04-24T22:09:00.000Z,-1.75736696,"[0.66277269, 0.69688535, 0.4295826, 0.64110062, 0.65646569, 0.54389713, -0.04473047, -0.64096631, -0.92577543, -0.96077125, -1.2196513, -1.25727553]","[2026-04-24 21:09:00, 2026-04-24 21:14:00, 2026-04-24 21:19:00, 2026-04-24 21:24:00, 2026-04-24 21:29:00, 2026-04-24 21:34:00, 2026-04-24 21:39:00, 2026-04-24 21:44:00, 2026-04-24 21:49:00, 2026-04-24 21:54:00, 2026-04-24 21:59:00, 2026-04-24 22:04:00]",-0.11820551750000001,0.7821359654630526,2.0957499908977555,70324dcb1ed0412e367ac748a7a8224140eecfd7c40fb6de580e0e43e22f4d25
